venue_id,venue_name,city,pitch_type
IPL_VEN_01,ACA-VDCA Cricket Stadium,Visakhapatnam,Balanced
IPL_VEN_02,Arun Jaitley Stadium,Delhi,Balanced
IPL_VEN_03,Barsapara Cricket Stadium,Guwahati,Balanced
IPL_VEN_04,Brabourne Stadium,Mumbai,Batting
IPL_VEN_05,Dr DY Patil Sports Academy,Navi Mumbai,Balanced
IPL_VEN_06,Dubai International Cricket Stadium,Dubai,Balanced
IPL_VEN_07,Eden Gardens,Kolkata,Balanced
IPL_VEN_08,Ekana Cricket Stadium,Lucknow,Balanced
IPL_VEN_09,Green Park,Kanpur,Balanced
IPL_VEN_10,Himachal Pradesh Cricket Association Stadium,Dharamsala,Bowling
IPL_VEN_11,Holkar Cricket Stadium,Indore,Batting
IPL_VEN_12,JSCA International Stadium Complex,Ranchi,Balanced
IPL_VEN_13,M. Chinnaswamy Stadium,Bengaluru,Batting
IPL_VEN_14,MA Chidambaram Stadium,Chennai,Bowling
IPL_VEN_15,Maharaja Yadavindra Singh International Cricket Stadium,Mullanpur,Batting
IPL_VEN_16,Maharashtra Cricket Association Stadium,Pune,Balanced
IPL_VEN_17,Narendra Modi Stadium,Ahmedabad,Batting
IPL_VEN_18,Punjab Cricket Association IS Bindra Stadium,Mohali,Batting
IPL_VEN_19,Rajiv Gandhi International Stadium,Hyderabad,Batting
IPL_VEN_20,Saurashtra Cricket Association Stadium,Rajkot,Balanced
IPL_VEN_21,Sawai Mansingh Stadium,Jaipur,Batting
IPL_VEN_22,Shaheed Veer Narayan Singh International Stadium,Raipur,Balanced
IPL_VEN_23,Sharjah Cricket Stadium,Sharjah,Batting
IPL_VEN_24,Sheikh Zayed Stadium,Abu Dhabi,Balanced
IPL_VEN_25,Wankhede Stadium,Mumbai,Batting
IPL_VEN_26,Zayed Cricket Stadium,Abu Dhabi,Balanced